年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
2000,桃園市,Audi TT,1.8L,52.8萬,9.7萬km,501,https://auto.8891.com.tw/usedauto-infos-3450292.html?display__sale_code=&flow_id=1c75179c-1733-4e74-a72a-8630109f46ce,https://p2.8891.com.tw/2023/03/24/1679656792442534_440_330.jpg
2000,新北市,Audi A6 Sedan,2.7L,16.8萬,11.7萬km,265,https://auto.8891.com.tw/usedauto-infos-3443616.html?display__sale_code=&flow_id=606981ee-a250-428e-a807-2bb2f650ab12,https://p2.8891.com.tw/2023/03/18/1679108575613938_440_330.jpg
2001,台中市,Audi A6 Allroad,2.7L,35.8萬,8.2萬km,687,https://auto.8891.com.tw/usedauto-infos-3416848.html?display__sale_code=&flow_id=50eb117c-635a-466e-a255-4056feccf083,https://p2.8891.com.tw/2021/03/26/1616725407187576_440_330.jpg
2001,桃園市,Audi A4 Allroad,2.0L,8萬,15.0萬km,256,https://auto.8891.com.tw/usedauto-infos-3440156.html?display__sale_code=&flow_id=86f69ca6-1e4f-4c1a-8c0b-d1961a6f1b3e,https://p2.8891.com.tw/2023/03/15/1678875156313596_440_330.jpg
2002,桃園市,Audi A6 Sedan,3.0L,9.8萬,16.0萬km,70,https://auto.8891.com.tw/usedauto-infos-3455773.html?display__sale_code=9005011&flow_id=a06c9480-21cc-4c85-ace6-ef308b64cbb1,https://p2.8891.com.tw/2023/03/30/1680168049402950_440_330.jpg
2003,桃園市,Audi RS 6 Avant,4.2L,38萬,13.0萬km,410,https://auto.8891.com.tw/usedauto-infos-3446675.html?display__sale_code=&flow_id=980ff6f8-5da8-425a-baaa-85ff67119cb3,https://p2.8891.com.tw/2022/04/01/1648781376977090_440_330.jpg
2004,新北市,Audi A4 Sedan,1.8L,9.5萬,11.4萬km,242,https://auto.8891.com.tw/usedauto-infos-3441055.html?display__sale_code=&flow_id=e7c4d381-81f0-415f-a3da-eb38053dcbdd,https://p2.8891.com.tw/2020/12/06/1607231192711008_440_330.jpg
2004,新北市,Audi TT,1.8L,29.8萬,15.0萬km,1500,https://auto.8891.com.tw/usedauto-infos-3408634.html?display__sale_code=&flow_id=0201e43f-02c1-4391-9d6a-00e76734089a,https://p1.8891.com.tw/2022/11/21/3/1669040314628633_440_330.jpg
2004,彰化縣,Audi S4 Avant,4.2L,37.5萬,16.0萬km,997,https://auto.8891.com.tw/usedauto-infos-3419412.html?display__sale_code=&flow_id=b7eab015-2bb7-4640-afad-d23b6c8cfee8,https://p1.8891.com.tw/2023/03/02/4/1677752909647247_440_330.jpg
2005,新北市,Audi A3 Sportback,2.0L,12萬,15.0萬km,302,https://auto.8891.com.tw/usedauto-infos-3419864.html?display__sale_code=&flow_id=0523df03-d5c0-4cca-ac85-a7c26a0523a0,https://p1.8891.com.tw/2022/01/03/1641177367053667_440_330.jpg
2005,桃園市,Audi A3 5D,2.0L,15.8萬,19.0萬km,421,https://auto.8891.com.tw/usedauto-infos-3400088.html?display__sale_code=&flow_id=c6bf3f90-a963-4d3a-bf14-dfc083bd3c32,https://p1.8891.com.tw/2023/02/06/1675663312080273_440_330.jpg
2005,新北市,Audi A3 5D,2.0L,12.8萬,12.0萬km,134,https://auto.8891.com.tw/usedauto-infos-3430098.html?display__sale_code=&flow_id=0aae5054-f80a-4e7f-add3-5ad1b0d7bf09,https://p2.8891.com.tw/2022/07/10/1657430514882756_440_330.jpg
2005,新北市,Audi A4 Sedan,1.8L,12.8萬,13.5萬km,344,https://auto.8891.com.tw/usedauto-infos-3417182.html?display__sale_code=&flow_id=13157681-a28e-4b2a-be88-bcd11e84bf1a,https://p1.8891.com.tw/2019/03/03/2/1551583335711835_440_330.jpg
2005,台北市,Audi A4 Avant,2.0L,22.8萬,12.0萬km,188,https://auto.8891.com.tw/usedauto-infos-3443429.html?display__sale_code=&flow_id=6c5a5210-c511-4392-ad17-eb47410c9496,https://p1.8891.com.tw/2022/10/17/1665993014591681_440_330.jpg
2005,桃園市,Audi A3 5D,1.6L,16.6萬,13.0萬km,115,https://auto.8891.com.tw/usedauto-infos-3436540.html?display__sale_code=&flow_id=dc5eece4-1f6e-44ed-bcb9-aca680ae3c20,https://p2.8891.com.tw/2019/12/09/9/1575855724278532_440_330.jpg
2006,台南市,Audi Q7,3.0L,35.8萬,16.8萬km,448,https://auto.8891.com.tw/usedauto-infos-3421166.html?display__sale_code=&flow_id=941acf06-0236-4a30-b7d7-b984278dcf43,https://p2.8891.com.tw/2023/02/25/0/1677326992874064_440_330.jpg
