年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1990,台北市,M-Benz 古董車 W201 - 190E,2.3L,31.8萬,5.0萬km,428,https://auto.8891.com.tw/usedauto-infos-3440001.html?display__sale_code=&flow_id=21c2523f-eb2b-4839-9389-a322124d584a,https://p2.8891.com.tw/2023/03/15/1678853137050810_440_330.jpg
1990,高雄市,M-Benz 古董車 W201 - 190E,2.0L,19.8萬,9.0萬km,308,https://auto.8891.com.tw/usedauto-infos-3449837.html?display__sale_code=&flow_id=76cc4c22-011c-4b31-bac8-d7cddb809575,https://p2.8891.com.tw/2023/03/24/1679637440636846_440_330.jpg
1990,台北市,M-Benz 古董車 W201 - 190E,2.0L,12.9萬,5.5萬km,780,https://auto.8891.com.tw/usedauto-infos-3449051.html?display__sale_code=&flow_id=a896014e-7a37-43bf-a959-46203fb06b18,https://p2.8891.com.tw/2023/03/23/1679559579201718_440_330.jpg
1990,高雄市,M-Benz E-Class Sedan 260E,2.6L,88萬,10.0萬km,15037,https://auto.8891.com.tw/usedauto-infos-2875436.html?display__sale_code=&flow_id=6b526537-67aa-4aa5-b0a7-da7aa1415d13,https://p2.8891.com.tw/2023/04/01/1680348366890250_440_330.jpg
1990,高雄市,M-Benz 古董車 W123 - 200-1983,2.0L,19.8萬,19.6萬km,742,https://auto.8891.com.tw/usedauto-infos-3404062.html?display__sale_code=&flow_id=9c2e6b72-9778-436b-8f6b-daaeeb4f0fb7,https://p1.8891.com.tw/2023/02/09/1675926591914183_440_330.jpg
1990,嘉義縣,M-Benz S-Class Sedan 300SE,3.0L,19.8萬,18.7萬km,486,https://auto.8891.com.tw/usedauto-infos-3432972.html?display__sale_code=&flow_id=ef402f61-57d7-4fb1-a9be-fbcea350f003,https://p2.8891.com.tw/2023/03/08/1678285664660388_440_330.jpg
1990,台北市,M-Benz 古董車 W123 - 230E,2.3L,88.8萬,27.0萬km,4293,https://auto.8891.com.tw/usedauto-infos-3299710.html?display__sale_code=9005012&flow_id=15a7749e-504f-49f8-b5a4-a4be929c38e9,https://p1.8891.com.tw/2022/04/16/1650083504741483_440_330.jpg
1990,桃園市,M-Benz E-Class Sedan E200,2.0L,15.8萬,5.0萬km,427,https://auto.8891.com.tw/usedauto-infos-3442750.html?display__sale_code=&flow_id=430d6283-d54a-4fa9-be06-adfce8f0d811,https://p2.8891.com.tw/2018/10/04/5/1538637642827856_440_330.jpg
1990,台中市,M-Benz 古董車 W123,2.0L,25萬,40.7萬km,205,https://auto.8891.com.tw/usedauto-infos-3451869.html?display__sale_code=&flow_id=7cdb9134-d6b5-4499-92a8-9e63d1cf7794,https://p1.8891.com.tw/2023/03/26/1679832745247523_440_330.jpg
1990,台北市,M-Benz S-Class Sedan 280SE,2.7L,22.8萬,10.8萬km,720,https://auto.8891.com.tw/usedauto-infos-3405383.html?display__sale_code=&flow_id=91139f87-f70a-43da-8c7c-9e11583df04f,https://p2.8891.com.tw/2022/03/29/1648534547837566_440_330.jpg
1990,高雄市,M-Benz 古董車 W123 - 200,2.0L,13.8萬,25.0萬km,698,https://auto.8891.com.tw/usedauto-infos-3427870.html?display__sale_code=&flow_id=a303c623-6659-4a7a-975e-2aaf4260ace3,https://p1.8891.com.tw/2023/03/04/1677912256005457_440_330.jpg
1990,高雄市,M-Benz 古董車 W123,2.0L,28.8萬,15.0萬km,245,https://auto.8891.com.tw/usedauto-infos-3452789.html?display__sale_code=&flow_id=5f606f76-3226-41ce-a749-77abf4f524f0,https://p2.8891.com.tw/2023/03/27/1679910238103090_440_330.jpg
1990,雲林縣,M-Benz 古董車 W123 - 200-1983,2.0L,16.8萬,12.0萬km,2413,https://auto.8891.com.tw/usedauto-infos-3375786.html?display__sale_code=&flow_id=95256128-5b62-4c68-9936-972862ea38fe,https://p2.8891.com.tw/2022/12/09/1670585872965680_440_330.jpg
1990,台南市,M-Benz 古董車 W123 - 230E,2.3L,18.9萬,11.0萬km,4683,https://auto.8891.com.tw/usedauto-infos-3168011.html?display__sale_code=&flow_id=1b4cfcbf-22ea-492b-9581-9d05981f13e3,https://p2.8891.com.tw/2022/06/28/1656398127706586_440_330.jpg
1990,台中市,M-Benz 古董車 W123 - 230E,2.3L,28.8萬,20.0萬km,284,https://auto.8891.com.tw/usedauto-infos-3435630.html?display__sale_code=&flow_id=37233c2c-3c47-40ac-ba1f-5b70393f22cf,https://p1.8891.com.tw/2022/07/11/1657514330239433_440_330.jpg
