年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1990,台北市,BMW 3-Series Convertible 325i,2.5L,85.8萬,9.3萬km,1775,https://auto.8891.com.tw/usedauto-infos-3368101.html?display__sale_code=&flow_id=a6e5d5c6-37a2-4370-97b8-a74ec4ed7c1c,https://p2.8891.com.tw/2022/03/03/1646308735318464_440_330.jpg
1990,台北市,BMW 3-Series Convertible 320i,2.0L,79.8萬,14.0萬km,383,https://auto.8891.com.tw/usedauto-infos-3448939.html?display__sale_code=&flow_id=3f52e2c0-50cb-4749-92f4-a1cd8ca79b4a,https://p2.8891.com.tw/2022/04/13/1649832508870140_440_330.jpg
1990,台北市,BMW 3-Series Sedan 316i,1.6L,18萬,23.9萬km,1565,https://auto.8891.com.tw/usedauto-infos-3425553.html?display__sale_code=&flow_id=88f260ab-7742-43ca-a3b4-dba68d585983,https://p1.8891.com.tw/2023/03/02/1677749747834039_440_330.jpg
1990,新北市,BMW 3-Series Sedan 320i,2.0L,28.8萬,16.0萬km,314,https://auto.8891.com.tw/usedauto-infos-3449377.html?display__sale_code=&flow_id=160b6d19-1e10-4611-b1cd-5db10c7a93d5,https://p2.8891.com.tw/2023/03/23/1679576080337746_440_330.jpg
1990,台北市,BMW 7-Series 735iL,3.4L,16.9萬,26.8萬km,93,https://auto.8891.com.tw/usedauto-infos-3456715.html?display__sale_code=&flow_id=6164a2f2-7780-418c-ae03-464e9c4f1229,https://p1.8891.com.tw/2022/04/17/1650170105297547_440_330.jpg
1990,新北市,BMW 3-Series Coupe 318i,1.8L,38.8萬,14.0萬km,598,https://auto.8891.com.tw/usedauto-infos-3430222.html?display__sale_code=&flow_id=9c6afd70-f772-4f46-9c27-603c9b23ce83,https://p2.8891.com.tw/2022/10/27/1666835475562056_440_330.jpg
1990,桃園市,BMW 5-Series Sedan 520i,2.0L,37.8萬,6.0萬km,1737,https://auto.8891.com.tw/usedauto-infos-3382639.html?display__sale_code=&flow_id=5c2574d4-0663-49e7-be56-54bbc75861e6,https://p2.8891.com.tw/2023/01/14/1673676018582342_440_330.jpg
1990,台中市,BMW 3-Series Coupe 318i,1.8L,65萬,15.0萬km,914,https://auto.8891.com.tw/usedauto-infos-3428391.html?display__sale_code=&flow_id=9b9aa3fc-fc01-4cfc-9f03-9d8f5c67ee39,https://p1.8891.com.tw/2023/03/05/1677950460510463_440_330.jpg
1990,台北市,BMW 3-Series Coupe 320i,2.0L,98萬,5.5萬km,414,https://auto.8891.com.tw/usedauto-infos-3445803.html?display__sale_code=9005012&flow_id=b730c4c8-4c6b-449d-a56b-5b95a4abc8e9,https://p1.8891.com.tw/2020/02/01/6/1580539309383447_440_330.jpg
1994,新北市,BMW 3-Series Coupe 325i,2.5L,15.8萬,16.0萬km,583,https://auto.8891.com.tw/usedauto-infos-3442228.html?display__sale_code=&flow_id=554f4bf5-c675-431c-896c-d5b0c9c590de,https://p2.8891.com.tw/2022/04/13/1649841488067650_440_330.jpg
1995,新北市,BMW 3-Series Touring 318ia,1.8L,16萬,17.0萬km,1709,https://auto.8891.com.tw/usedauto-infos-3361562.html?display__sale_code=&flow_id=56c0ac20-9f29-44be-b343-59bebe1da9e6,https://p1.8891.com.tw/2022/08/18/1660815777366255_440_330.jpg
1995,桃園市,BMW 3-Series Sedan 318i,1.8L,12.5萬,9.4萬km,354,https://auto.8891.com.tw/usedauto-infos-3440984.html?display__sale_code=&flow_id=5a412869-6e2d-45ed-a223-2a75216f64f5,https://p2.8891.com.tw/2022/05/11/1652264222968388_440_330.jpg
1995,台中市,BMW 3-Series Touring 318ia,1.8L,20萬,22.4萬km,709,https://auto.8891.com.tw/usedauto-infos-3416957.html?display__sale_code=&flow_id=8388ce33-6148-4405-bf9d-72da185e8074,https://p1.8891.com.tw/2023/02/21/1676973568997923_440_330.jpg
1996,新北市,BMW Z3 Roadster,1.9L,39.8萬,13.0萬km,2298,https://auto.8891.com.tw/usedauto-infos-3402675.html?display__sale_code=&flow_id=15c46eb6-2171-4c81-a049-8c0500087cc6,https://p1.8891.com.tw/2022/12/05/1670234953756645_440_330.jpg
