年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1997,桃園市,Ford Festiva/嘉年華,1.5L,3.8萬,12.0萬km,2344,https://auto.8891.com.tw/usedauto-infos-3267105.html?display__sale_code=&flow_id=e2b5395f-9507-47f7-9e31-9e086c7aba11,https://p1.8891.com.tw/2022/06/25/0/1656143141266095_440_330.jpg
1998,新北市,Ford PRZ,1.1L以下,7.8萬,7.0萬km,153,https://auto.8891.com.tw/usedauto-infos-3454056.html?display__sale_code=&flow_id=f24d5cb9-90bc-432d-9407-a91ec2277fff,https://p1.8891.com.tw/2023/03/28/1680007808078119_440_330.jpg
1999,彰化縣,Ford Ranger,3.0L,23.8萬,5.0萬km,497,https://auto.8891.com.tw/usedauto-infos-3425782.html?display__sale_code=&flow_id=b04764b7-146d-48a1-ae60-92bf44d67965,https://p1.8891.com.tw/2022/10/29/1667036533946381_440_330.jpg
2000,台中市,Ford PRZ,1.1L以下,6.8萬,13.0萬km,1059,https://auto.8891.com.tw/usedauto-infos-3396036.html?display__sale_code=&flow_id=866422d4-ed95-4b7b-80d0-35f1dfcab4e4,https://p1.8891.com.tw/2022/07/09/1657363925539689_440_330.jpg
2001,台中市,Ford PRZ,1.1L以下,13.8萬,17.0萬km,591,https://auto.8891.com.tw/usedauto-infos-3427955.html?display__sale_code=&flow_id=4781f6e9-d5e3-465e-bc51-a4aeb382d25d,https://p2.8891.com.tw/2023/03/04/4/1677917475338000_440_330.jpg
2001,高雄市,Ford PRZ,1.1L以下,13.8萬,16.0萬km,109,https://auto.8891.com.tw/usedauto-infos-3444986.html?display__sale_code=&flow_id=4a16435b-0602-4945-ada5-ce237e2cc440,https://p1.8891.com.tw/2023/02/17/1676642638545947_440_330.jpg
2002,桃園市,Ford Focus,2.0L,9.8萬,15.0萬km,650,https://auto.8891.com.tw/usedauto-infos-3402441.html?display__sale_code=&flow_id=06ed5a57-6150-4531-8c43-fb3e5da921c5,https://p2.8891.com.tw/2022/03/13/3/1647161505429330_440_330.jpg
2002,彰化縣,Ford Mondeo,2.0L,8.8萬,22.0萬km,185,https://auto.8891.com.tw/usedauto-infos-3447896.html?display__sale_code=&flow_id=3b280af1-83ab-4178-98e1-9968d06b73ae,https://p1.8891.com.tw/2023/03/22/7/1679466745676403_440_330.jpg
2002,桃園市,Ford Mondeo,2.0L,1.3萬,15.0萬km,952,https://auto.8891.com.tw/usedauto-infos-3407888.html?display__sale_code=&flow_id=258177ab-56b0-4a20-882a-0549eb35cf4e,https://p1.8891.com.tw/2023/02/13/1676257986135831_440_330.jpg
2002,彰化縣,Ford Pronto/好幫手,1.1L以下,13.8萬,13.0萬km,7,https://auto.8891.com.tw/usedauto-infos-3457930.html?display__sale_code=3010013&flow_id=d7bab217-d424-4fdc-9bae-a5aeda98f424,https://p1.8891.com.tw/2023/04/01/1680339569024803_440_330.jpg
2003,新北市,Ford MAV/愛斯昂,2.0L,10.8萬,6.7萬km,150,https://auto.8891.com.tw/usedauto-infos-3431835.html?display__sale_code=&flow_id=64189550-5262-4d39-bba2-2a70117bdb5a,https://p2.8891.com.tw/2023/03/29/9/1680095315531528_440_330.jpg
2003,桃園市,Ford Tierra/鐵而瑞,1.6L,5.8萬,16.0萬km,381,https://auto.8891.com.tw/usedauto-infos-3417695.html?display__sale_code=&flow_id=ea87396e-7045-4730-814e-c13b631334cc,https://p1.8891.com.tw/2023/02/25/1677311727338335_440_330.jpg
2003,桃園市,Ford Tierra/鐵而瑞,1.6L,5.5萬,16.0萬km,225,https://auto.8891.com.tw/usedauto-infos-3449929.html?display__sale_code=9005001&flow_id=34b83933-05d5-475b-96bf-f8a0973b36c4,https://p2.8891.com.tw/2023/03/24/1679640862294802_440_330.jpg
2003,台南市,Ford Explorer,4.0L,18.5萬,25.0萬km,6049,https://auto.8891.com.tw/usedauto-infos-3188050.html?display__sale_code=9005002&flow_id=beb52461-216c-4691-bebd-2dbf1df01214,https://p2.8891.com.tw/2022/07/16/1657964441236374_440_330.jpg
2003,新北市,Ford MAV/愛斯昂,2.0L,3萬,5.0萬km,114,https://auto.8891.com.tw/usedauto-infos-3452887.html?display__sale_code=&flow_id=75183061-cde4-40ff-b6db-05c6e56fc5c1,https://p1.8891.com.tw/2023/03/27/1679916565024767_440_330.jpg
2003,高雄市,Ford Escape,2.0L,9.8萬,22.8萬km,180,https://auto.8891.com.tw/usedauto-infos-3437562.html?display__sale_code=&flow_id=66da4ab3-d8d7-448a-9c16-d30eb36a7144,https://p2.8891.com.tw/2021/07/29/1627546320298384_440_330.jpg
2003,高雄市,Ford Escape,2.0L,9.8萬,17.0萬km,342,https://auto.8891.com.tw/usedauto-infos-3416803.html?display__sale_code=&flow_id=523f4eaf-967d-473c-a59e-f6c64e121f98,https://p2.8891.com.tw/2023/02/21/1676968922370474_440_330.jpg
2003,台北市,Ford Escape,2.0L,7.8萬,8.0萬km,292,https://auto.8891.com.tw/usedauto-infos-3420104.html?display__sale_code=&flow_id=3a7746da-28e8-499b-b39f-efd067b6b7c6,https://p1.8891.com.tw/2023/02/24/1677233241375425_440_330.jpg
2003,新北市,Ford PRZ,1.1L以下,5.8萬,25.0萬km,764,https://auto.8891.com.tw/usedauto-infos-3412425.html?display__sale_code=&flow_id=606ecafa-1705-43a7-8649-494161954963,https://p2.8891.com.tw/2023/02/17/1676572225348962_440_330.jpg
2004,台中市,Ford PRZ,1.1L以下,9.8萬,13.0萬km,882,https://auto.8891.com.tw/usedauto-infos-3396020.html?display__sale_code=&flow_id=8b0b1daa-117c-4d6e-9cfe-9ec67ba618e2,https://p2.8891.com.tw/2022/12/29/4/1672282035251120_440_330.jpg
