年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1994,高雄市,Honda Civic,1.6L,13.8萬,30.0萬km,726,https://auto.8891.com.tw/usedauto-infos-3428980.html?display__sale_code=&flow_id=b58527b7-8670-4daf-a65b-a5bee4df682d,https://p2.8891.com.tw/2022/12/29/1672295660901926_440_330.jpg
1996,桃園市,Honda Civic K8,1.6L,7萬,9.0萬km,2627,https://auto.8891.com.tw/usedauto-infos-3416969.html?display__sale_code=&flow_id=8d3d4e31-0ffa-442e-8bf8-0b99f91781d3,https://p2.8891.com.tw/2022/06/14/9/1655208691639740_440_330.jpg
1996,苗栗縣,Honda Civic K8,1.6L,19.6萬,15.0萬km,2330,https://auto.8891.com.tw/usedauto-infos-3400950.html?display__sale_code=&flow_id=ac40491b-49f2-469b-9e0e-ffc59bd3aaf3,https://p2.8891.com.tw/2022/11/23/9/1669215743206622_440_330.jpg
1996,台中市,Honda Civic K8,1.6L,5.8萬,19.0萬km,2587,https://auto.8891.com.tw/usedauto-infos-3396054.html?display__sale_code=&flow_id=924a6ac1-1e80-4885-8aa5-3f2db319236b,https://p1.8891.com.tw/2022/09/19/4/1663560766480363_440_330.jpg
1996,桃園市,Honda Civic,1.6L,7.9萬,9.0萬km,616,https://auto.8891.com.tw/usedauto-infos-3446026.html?display__sale_code=&flow_id=4ec6803e-4367-4557-80ce-7d607c67f603,https://p2.8891.com.tw/2023/03/20/1679305417367198_440_330.jpg
1996,台中市,Honda Civic K8,1.6L,3.9萬,25.6萬km,975,https://auto.8891.com.tw/usedauto-infos-3441508.html?display__sale_code=&flow_id=ca136b93-f864-49a6-bb4f-675bad5e42fa,https://p2.8891.com.tw/2023/03/16/1678943264170592_440_330.jpg
1997,台北市,Honda Civic K8,1.6L,5.9萬,10.0萬km,1446,https://auto.8891.com.tw/usedauto-infos-3400559.html?display__sale_code=&flow_id=1599fbab-6bb9-4ffe-8dfb-b9df3ca33045,https://p2.8891.com.tw/2023/02/09/1675941421487048_440_330.jpg
1998,新北市,Honda Civic,1.6L,4.8萬,15.4萬km,1334,https://auto.8891.com.tw/usedauto-infos-3415559.html?display__sale_code=&flow_id=eeb31ef5-6f14-48f7-b0e2-eba7c7a7f462,https://p2.8891.com.tw/2016/06/07/2/1465265304970164_440_330.jpg
1998,新北市,Honda Civic,1.6L,4.8萬,18.4萬km,2435,https://auto.8891.com.tw/usedauto-infos-3406562.html?display__sale_code=&flow_id=28929c9c-078a-4aab-9827-23b224060d0b,https://p1.8891.com.tw/2016/08/19/2/1471615059778377_440_330.jpg
1998,新北市,Honda Civic K8,1.6L,5.8萬,17.0萬km,1786,https://auto.8891.com.tw/usedauto-infos-3401120.html?display__sale_code=&flow_id=8c957864-8613-4b65-ba44-0c97328efd39,https://p2.8891.com.tw/2017/08/30/2/1504087036743640_440_330.jpg
