年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1998,彰化縣,Lexus GS,3.0L,9萬,20.0萬km,587,https://auto.8891.com.tw/usedauto-infos-3423278.html?display__sale_code=&flow_id=3d2c2842-53f6-4ba9-8984-326d1c92fc43,https://p2.8891.com.tw/2023/02/28/1677586625385516_440_330.jpg
1999,台南市,Lexus IS,2.0L,23.8萬,13.2萬km,519,https://auto.8891.com.tw/usedauto-infos-3438202.html?display__sale_code=&flow_id=cdc08269-ad49-4d77-acab-fddf4958759f,https://p2.8891.com.tw/2023/03/13/1678704021259474_440_330.jpg
1999,台北市,Lexus GS,3.0L,7.5萬,28.0萬km,990,https://auto.8891.com.tw/usedauto-infos-3425551.html?display__sale_code=&flow_id=2edb0a18-6d56-4e31-9d70-2c42d1436473,https://p2.8891.com.tw/2023/03/02/1677749685163800_440_330.jpg
1999,新北市,Lexus RX,3.0L,15.8萬,24.8萬km,180,https://auto.8891.com.tw/usedauto-infos-3449179.html?display__sale_code=&flow_id=26a6b6b0-0757-4dbb-b5c3-c7a7d8fb3155,https://p1.8891.com.tw/2023/02/21/1676962894204397_440_330.jpg
1999,台北市,Lexus GS,3.0L,2.9萬,24.0萬km,2334,https://auto.8891.com.tw/usedauto-infos-3412119.html?display__sale_code=&flow_id=7cd092a4-c271-4881-ab5e-8249f2602c94,https://p1.8891.com.tw/2023/02/16/1676541063430259_440_330.jpg
2000,台中市,Lexus IS,2.0L,10萬,10.0萬km,249,https://auto.8891.com.tw/usedauto-infos-3441192.html?display__sale_code=&flow_id=a4c62e19-85e0-49d2-ae3f-85c62f73db66,https://p1.8891.com.tw/2023/02/13/1676280024125437_440_330.jpg
2000,台中市,Lexus IS,2.0L,10萬,11.0萬km,1129,https://auto.8891.com.tw/usedauto-infos-3402296.html?display__sale_code=&flow_id=58cdf512-1d2f-4805-b9a3-ca3001b1b039,https://p2.8891.com.tw/2023/02/08/1675823697882674_440_330.jpg
2000,台中市,Lexus IS,2.0L,10萬,12.0萬km,546,https://auto.8891.com.tw/usedauto-infos-3442505.html?display__sale_code=&flow_id=e4f2b97e-4788-4399-b77f-16e68b0e4d6c,https://p1.8891.com.tw/2023/02/14/1676356284230769_440_330.jpg
2000,高雄市,Lexus RX,3.0L,13.8萬,13.0萬km,798,https://auto.8891.com.tw/usedauto-infos-3415142.html?display__sale_code=&flow_id=5ddc0783-f926-4260-8f4a-384e10d18449,https://p1.8891.com.tw/2022/12/19/2/1671431212380407_440_330.jpg
2000,台中市,Lexus IS,2.0L,10萬,18.0萬km,94,https://auto.8891.com.tw/usedauto-infos-3450847.html?display__sale_code=&flow_id=36e6fddc-4120-4475-910d-cb7ed83cfbdd,https://p1.8891.com.tw/2023/02/23/1677130471117435_440_330.jpg
2001,台中市,Lexus ES,3.0L,12.8萬,29.7萬km,832,https://auto.8891.com.tw/usedauto-infos-3378264.html?display__sale_code=&flow_id=d9d53ae7-c3a3-4a65-8a40-b91e13231167,https://p2.8891.com.tw/2023/01/10/1673330477106392_440_330.jpg
2001,高雄市,Lexus RX,3.0L,22.5萬,22.0萬km,647,https://auto.8891.com.tw/usedauto-infos-3403384.html?display__sale_code=&flow_id=9f3ffae2-ce20-43ab-ac20-1e21d7662a55,https://p1.8891.com.tw/2022/09/22/1663840613056993_440_330.jpg
2002,彰化縣,Lexus SC,4.3L,15萬,20.2萬km,440,https://auto.8891.com.tw/usedauto-infos-3437456.html?display__sale_code=&flow_id=b77c1dce-1393-473b-be45-88f60674922f,https://p1.8891.com.tw/2023/03/13/2/1678679869766987_440_330.jpg
2002,桃園市,Lexus SC,4.3L,23.8萬,18.9萬km,659,https://auto.8891.com.tw/usedauto-infos-3402434.html?display__sale_code=&flow_id=344248a7-cdf8-4854-a2ec-5a726c5cb456,https://p1.8891.com.tw/2022/06/13/3/1655121110733853_440_330.jpg
2002,高雄市,Lexus IS,2.0L,15.8萬,17.6萬km,1336,https://auto.8891.com.tw/usedauto-infos-3417028.html?display__sale_code=&flow_id=790f3744-f4b4-4b65-9396-5cb013031057,https://p2.8891.com.tw/2022/11/23/1669197589780250_440_330.jpg
2002,台北市,Lexus SC,4.3L,22.9萬,18.0萬km,219,https://auto.8891.com.tw/usedauto-infos-3452300.html?display__sale_code=&flow_id=27a2cff9-4d24-4516-a496-63550e90da51,https://p2.8891.com.tw/2023/02/24/1677223826312634_440_330.jpg
2002,台北市,Lexus ES,3.0L,12.8萬,18.0萬km,119,https://auto.8891.com.tw/usedauto-infos-3449683.html?display__sale_code=&flow_id=ec82e97d-bfaf-4aee-8999-9d2f6e0a597c,https://p1.8891.com.tw/2023/01/22/1674321564670661_440_330.jpg
2003,台北市,Lexus RX,3.3L,19.8萬,12.8萬km,1273,https://auto.8891.com.tw/usedauto-infos-3299773.html?display__sale_code=&flow_id=9bb47a5e-56e0-4a97-b04b-af5c7d386078,https://p1.8891.com.tw/2022/10/29/1667028619809599_440_330.jpg
2003,台中市,Lexus RX,3.3L,13萬,17.7萬km,131,https://auto.8891.com.tw/usedauto-infos-3434342.html?display__sale_code=&flow_id=cc38737f-5a33-4b64-a970-af32dd14702e,https://p2.8891.com.tw/2021/10/04/1633315734368976_440_330.jpg
2003,桃園市,Lexus IS,2.0L,14.8萬,16.0萬km,706,https://auto.8891.com.tw/usedauto-infos-3397743.html?display__sale_code=&flow_id=1c7c235d-781a-4cd6-ac4b-a884805cbe10,https://p2.8891.com.tw/2023/02/03/1675429097893598_440_330.jpg
2003,高雄市,Lexus RX,3.3L,16.8萬,21.0萬km,929,https://auto.8891.com.tw/usedauto-infos-3356246.html?display__sale_code=&flow_id=70895cc9-9ad9-48b0-9f23-5ab7c385e9e9,https://p2.8891.com.tw/2023/03/31/1680269136205726_440_330.jpg
