年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
2000,台中市,Mazda Isamu,1.6L,7.8萬,15.0萬km,312,https://auto.8891.com.tw/usedauto-infos-3437023.html?display__sale_code=9005001&flow_id=d84d8b10-adea-4b74-a8e7-5bc28988d30f,https://p1.8891.com.tw/2023/03/12/1678622769054051_440_330.jpg
2000,台南市,Mazda Tribute/邱比特,2.0L,9.8萬,17.0萬km,345,https://auto.8891.com.tw/usedauto-infos-3409524.html?display__sale_code=9005002&flow_id=9802d2f7-574b-43bb-ab12-48462918a9bd,https://p1.8891.com.tw/2023/02/14/1676356912503077_440_330.jpg
2001,桃園市,Mazda Premacy/霹馬斯,1.8L,5.8萬,16.0萬km,362,https://auto.8891.com.tw/usedauto-infos-3433404.html?display__sale_code=9005001&flow_id=be39d490-0d0c-45b9-9a76-eb6e489d69d7,https://p1.8891.com.tw/2023/03/09/1678337111469897_440_330.jpg
2002,桃園市,Mazda 6,2.0L,8.8萬,13.0萬km,91,https://auto.8891.com.tw/usedauto-infos-3448486.html?display__sale_code=&flow_id=a2f3456b-b9e7-45ab-b7e8-a01d5ffa6072,https://p2.8891.com.tw/2023/02/17/1676629308054674_440_330.jpg
2002,南投縣,Mazda Premacy/霹馬斯,2.0L,15.8萬,20.0萬km,156,https://auto.8891.com.tw/usedauto-infos-3448790.html?display__sale_code=&flow_id=097eaad3-aefa-4feb-9265-e97385adbdf5,https://p2.8891.com.tw/2023/03/23/1679548407287192_440_330.jpg
2002,高雄市,Mazda E2000,2.0L,12.6萬,21.1萬km,195,https://auto.8891.com.tw/usedauto-infos-3416230.html?display__sale_code=&flow_id=484af4b3-4f25-4447-95b2-ae9023ff29f0,https://p2.8891.com.tw/2022/11/19/1668840686710976_440_330.jpg
2002,新北市,Mazda MPV,3.0L,12.8萬,18.6萬km,569,https://auto.8891.com.tw/usedauto-infos-3409854.html?display__sale_code=&flow_id=7f08c7f5-938a-465c-a085-b09a0763b474,https://p1.8891.com.tw/2022/07/15/3/1657865647529481_440_330.jpg
2002,基隆市,Mazda Isamu,1.6L,7.8萬,16.0萬km,454,https://auto.8891.com.tw/usedauto-infos-3429998.html?display__sale_code=&flow_id=92732a05-2035-4fcf-881c-bcd520f0af84,https://p2.8891.com.tw/2022/08/10/1660127547101974_440_330.jpg
2002,新北市,Mazda 323/馬自達,2.0L,5.9萬,9.8萬km,818,https://auto.8891.com.tw/usedauto-infos-3424414.html?display__sale_code=&flow_id=b0cceb19-8a71-4cb9-b4ac-e289f3235585,https://p2.8891.com.tw/2022/10/21/8/1666358840778162_440_330.jpg
2002,台北市,Mazda MPV,3.0L,8.8萬,22.0萬km,415,https://auto.8891.com.tw/usedauto-infos-3422818.html?display__sale_code=&flow_id=dcd05969-1597-4e21-9143-ebbabe9011e1,https://p1.8891.com.tw/2023/03/12/8/1678609400325089_440_330.jpg
2002,新北市,Mazda MPV,3.0L,9.8萬,23.0萬km,151,https://auto.8891.com.tw/usedauto-infos-3433650.html?display__sale_code=&flow_id=365bed0e-537c-45a4-b435-36bac5c419e7,https://p1.8891.com.tw/2022/11/09/1667958515250857_440_330.jpg
2003,桃園市,Mazda MPV,3.0L,6.8萬,20.0萬km,408,https://auto.8891.com.tw/usedauto-infos-3426352.html?display__sale_code=&flow_id=ba11ddc0-4bfe-4eb9-b893-fe6312cf7419,https://p1.8891.com.tw/2023/03/03/1677818003431041_440_330.jpg
2003,台中市,Mazda Premacy/霹馬斯,2.0L,9.8萬,15.8萬km,1266,https://auto.8891.com.tw/usedauto-infos-3352786.html?display__sale_code=9005002&flow_id=3713636e-36fc-475f-b2af-c6e976ec806c,https://p1.8891.com.tw/2016/09/25/1/1474801548323251_440_330.jpg
2003,台北市,Mazda Tribute/邱比特,3.0L,5萬,15.5萬km,120,https://auto.8891.com.tw/usedauto-infos-3451374.html?display__sale_code=&flow_id=6d4e815d-bec8-4b9b-881e-75f582cbbd83,https://p1.8891.com.tw/2023/03/25/4/1679752422399295_440_330.jpg
2004,新竹市,Mazda RX-8,2.6L,60萬,8.7萬km,3594,https://auto.8891.com.tw/usedauto-infos-3417683.html?display__sale_code=&flow_id=1108b967-3848-4899-a4a7-71af411015e4,https://p2.8891.com.tw/2023/02/22/1677050683925504_440_330.jpg
2004,新北市,Mazda 6,2.0L,9.9萬,13.1萬km,541,https://auto.8891.com.tw/usedauto-infos-3414045.html?display__sale_code=&flow_id=34b9b470-651c-4c24-9d5d-af243f6c496a,https://p2.8891.com.tw/2023/02/18/1/1676704651607814_440_330.jpg
2004,新竹市,Mazda Tribute/邱比特,3.0L,7.5萬,15.8萬km,67,https://auto.8891.com.tw/usedauto-infos-3446700.html?display__sale_code=&flow_id=47228001-f775-4c9f-a83a-7895cbb4aedb,https://p2.8891.com.tw/2023/01/01/6/1672568868217914_440_330.jpg
2004,高雄市,Mazda 3,2.0L,12.8萬,17.0萬km,262,https://auto.8891.com.tw/usedauto-infos-3425401.html?display__sale_code=&flow_id=dac123cf-df2b-415a-8ca6-98081c561b46,https://p2.8891.com.tw/2023/03/02/1677745442145564_440_330.jpg
2004,新北市,Mazda 6,2.3L,7.3萬,20.0萬km,249,https://auto.8891.com.tw/usedauto-infos-3325284.html?display__sale_code=&flow_id=dcd7035e-04d3-41ed-bbcb-48bf09e10754,https://p2.8891.com.tw/2022/10/19/1666180248158046_440_330.jpg
2004,台中市,Mazda MPV,3.0L,14.8萬,19.0萬km,98,https://auto.8891.com.tw/usedauto-infos-3447441.html?display__sale_code=9005002&flow_id=c8e33eae-a7c9-4c9d-bdee-51254b2ddc0c,https://p1.8891.com.tw/2023/03/02/1677752086939753_440_330.jpg
2004,新竹市,Mazda Tribute/邱比特,3.0L,7.5萬,15.8萬km,154,https://auto.8891.com.tw/usedauto-infos-3446753.html?display__sale_code=&flow_id=4b722ec6-45d7-4f42-bc02-fd60ee0e43e9,https://p2.8891.com.tw/2023/01/01/2/1672568558440440_440_330.jpg
2004,桃園市,Mazda Premacy/霹馬斯,2.0L,4.8萬,13.0萬km,115,https://auto.8891.com.tw/usedauto-infos-3454617.html?display__sale_code=9005001&flow_id=7dc7780a-4d87-4e7e-b9b6-786318977902,https://p2.8891.com.tw/2023/01/03/1672741041456098_440_330.jpg
2004,高雄市,Mazda MPV,3.0L,26.5萬,6.6萬km,939,https://auto.8891.com.tw/usedauto-infos-3408894.html?display__sale_code=&flow_id=0983a2d1-3184-40a0-99c6-eabe6e04a566,https://p1.8891.com.tw/2022/05/13/1652394116105713_440_330.jpg
2004,新北市,Mazda 6,2.3L,7.8萬,20.0萬km,184,https://auto.8891.com.tw/usedauto-infos-3435742.html?display__sale_code=&flow_id=7a633248-a296-4741-a147-2358875eac37,https://p1.8891.com.tw/2023/03/11/1/1678509322845617_440_330.jpg
2004,台中市,Mazda Isamu,1.6L,8.5萬,27.6萬km,464,https://auto.8891.com.tw/usedauto-infos-3405273.html?display__sale_code=&flow_id=f6376991-854c-4c0d-b0e7-48c213c6c552,https://p1.8891.com.tw/2022/10/16/3/1665902207606623_440_330.jpg
2004,新北市,Mazda Premacy/霹馬斯,2.0L,6.9萬,24.0萬km,1782,https://auto.8891.com.tw/usedauto-infos-3394771.html?display__sale_code=&flow_id=9699b711-883a-477e-a69a-e7174ab948a9,https://p2.8891.com.tw/2023/02/01/1675243050246088_440_330.jpg
2004,嘉義縣,Mazda MPV,3.0L,9.8萬,29.0萬km,80,https://auto.8891.com.tw/usedauto-infos-3444990.html?display__sale_code=&flow_id=2225dd9d-4884-44ff-b26e-198179b7099f,https://p1.8891.com.tw/2022/09/13/1663039179683251_440_330.jpg
2004,台中市,Mazda MPV,3.0L,6.8萬,20.0萬km,630,https://auto.8891.com.tw/usedauto-infos-3415662.html?display__sale_code=&flow_id=67cbdbda-7389-479b-a98b-859b64177351,https://p1.8891.com.tw/2023/02/20/4/1676877560665475_440_330.jpg
2004,台中市,Mazda Premacy/霹馬斯,2.0L,8.8萬,12.5萬km,448,https://auto.8891.com.tw/usedauto-infos-3402528.html?display__sale_code=&flow_id=e0d18ff7-4c7e-429c-bf35-90b096ac4306,https://p1.8891.com.tw/2017/06/21/8/1498036855309773_440_330.jpg
