年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1993,桃園市,Mitsubishi Eclipse,1.8L,25.8萬,15.0萬km,4002,https://auto.8891.com.tw/usedauto-infos-3369471.html?display__sale_code=&flow_id=8581d984-078e-4370-a57a-1fd2a2786d71,https://p1.8891.com.tw/2023/03/30/1680161915785051_440_330.jpg
1993,台中市,Mitsubishi Delica廂車,2.5L,11.8萬,20.0萬km,8103,https://auto.8891.com.tw/usedauto-infos-3212466.html?display__sale_code=&flow_id=68ac88e0-8edd-43b7-a42e-375a971b32f9,https://p2.8891.com.tw/2022/09/15/1663212501160072_440_330.jpg
1994,桃園市,Mitsubishi Varica/威利,1.1L以下,6萬,23.0萬km,80,https://auto.8891.com.tw/usedauto-infos-3452390.html?display__sale_code=&flow_id=72f5644a-fb5d-4653-827b-262be82fddc6,https://p1.8891.com.tw/2023/03/27/1679897672108253_440_330.jpg
1994,台北市,Mitsubishi Delica廂車,2.5L,19.8萬,25.0萬km,245,https://auto.8891.com.tw/usedauto-infos-3446177.html?display__sale_code=&flow_id=a46fd778-9036-4a7a-ad40-b3e2b0e8ecd7,https://p1.8891.com.tw/2023/03/20/9/1679321206219847_440_330.jpg
1994,新竹市,Mitsubishi Canter/堅達,2.8L,11.8萬,11.0萬km,32,https://auto.8891.com.tw/usedauto-infos-3454925.html?display__sale_code=&flow_id=40b4da4f-3cb3-4bd7-bc5e-49a2141d9bd5,https://p2.8891.com.tw/2022/03/26/6/1648272034967284_440_330.jpg
1995,高雄市,Mitsubishi Delica廂車,2.5L,32.8萬,17.0萬km,479,https://auto.8891.com.tw/usedauto-infos-3450077.html?display__sale_code=&flow_id=745b710c-0307-4f0e-8035-110f31c07fb0,https://p2.8891.com.tw/2023/03/24/1679645741915646_440_330.jpg
1995,彰化縣,Mitsubishi Delica廂車,2.5L,33.8萬,29.0萬km,623,https://auto.8891.com.tw/usedauto-infos-3427143.html?display__sale_code=&flow_id=d5bcea69-c10d-4d4c-9854-30a04e3a6cf1,https://p1.8891.com.tw/2022/12/26/1672059643105693_440_330.jpg
1995,南投縣,Mitsubishi Delica廂車,2.5L,45萬,31.0萬km,857,https://auto.8891.com.tw/usedauto-infos-3398914.html?display__sale_code=&flow_id=fe8fe734-2d00-45ee-b385-cc1226bd03a8,https://p1.8891.com.tw/2023/03/20/1679300282084575_440_330.jpg
1995,高雄市,Mitsubishi Canter/堅達,2.8L,9.8萬,38.0萬km,387,https://auto.8891.com.tw/usedauto-infos-3400030.html?display__sale_code=&flow_id=98b9f741-4143-4e79-ba48-7a72f464b8de,https://p2.8891.com.tw/2022/11/16/1668580955515200_440_330.jpg
1995,高雄市,Mitsubishi Delica廂車,2.5L,19.8萬,12.0萬km,285,https://auto.8891.com.tw/usedauto-infos-3448027.html?display__sale_code=&flow_id=b8f73a97-7903-48f9-b013-ec7d9442be1a,https://p1.8891.com.tw/2023/01/17/1673945631767101_440_330.jpg
1996,台中市,Mitsubishi Delica廂車,2.5L,16.8萬,30.0萬km,956,https://auto.8891.com.tw/usedauto-infos-3407142.html?display__sale_code=&flow_id=455a63f0-77cd-4036-803d-b5ad2f8ac924,https://p1.8891.com.tw/2023/02/24/1677237446103311_440_330.jpg
1996,桃園市,Mitsubishi Canter/堅達,2.8L,10.8萬,17.0萬km,208,https://auto.8891.com.tw/usedauto-infos-3405009.html?display__sale_code=&flow_id=92e4829e-0626-4018-a17e-7b567e9d5bdd,https://p2.8891.com.tw/2022/06/27/1656315810128218_440_330.jpg
1996,台中市,Mitsubishi Canter/堅達,2.9L,17.8萬,28.0萬km,33,https://auto.8891.com.tw/usedauto-infos-3457097.html?display__sale_code=9005002&flow_id=bb59de82-f870-4cd2-b289-775f88f0fa04,https://p2.8891.com.tw/2023/03/31/1680264025875786_440_330.jpg
1996,新北市,Mitsubishi Delica廂車,2.5L,19.8萬,15.7萬km,1040,https://auto.8891.com.tw/usedauto-infos-3439487.html?display__sale_code=&flow_id=4e9256a1-68cc-4a5f-9db4-3376cdbe4ad0,https://p2.8891.com.tw/2023/03/14/1678790953164784_440_330.jpg
1997,新北市,Mitsubishi Freeca/世界車,2.0L,7.5萬,8.1萬km,496,https://auto.8891.com.tw/usedauto-infos-3418248.html?display__sale_code=&flow_id=6b22c289-ca12-456f-825b-2155c8d7bbda,https://p2.8891.com.tw/2023/02/22/2/1677078103558216_440_330.jpg
1997,高雄市,Mitsubishi Canter/堅達,2.8L,18.6萬,32.9萬km,91,https://auto.8891.com.tw/usedauto-infos-3445122.html?display__sale_code=&flow_id=d2baf15e-aa22-4034-b87f-da07e50d76d4,https://p2.8891.com.tw/2023/03/20/1679280803986812_440_330.jpg
1997,新北市,Mitsubishi Delica貨車,2.5L,10萬,9.0萬km,203,https://auto.8891.com.tw/usedauto-infos-3430626.html?display__sale_code=&flow_id=a505413b-a621-4fb6-8a0a-e2c103f968fd,https://p1.8891.com.tw/2022/01/03/1641186938197777_440_330.jpg
1997,台南市,Mitsubishi Canter/堅達,2.8L,12.3萬,24.0萬km,109,https://auto.8891.com.tw/usedauto-infos-3448741.html?display__sale_code=&flow_id=8665de5a-c17d-4604-a2d6-9cb74cbcb9eb,https://p2.8891.com.tw/2023/03/23/1679545092603158_440_330.jpg
1997,基隆市,Mitsubishi Pajero,3.0L,22.8萬,40.0萬km,731,https://auto.8891.com.tw/usedauto-infos-3415212.html?display__sale_code=&flow_id=3416e540-7f8f-4d4d-9f46-5719882ff820,https://p1.8891.com.tw/2022/08/09/3/1660025966069975_440_330.jpg
