年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1993,高雄市,Nissan 303,1.6L,13.8萬,5.0萬km,519,https://auto.8891.com.tw/usedauto-infos-3449881.html?display__sale_code=&flow_id=d1baa211-96d5-4fdb-9444-b00b5daff596,https://p2.8891.com.tw/2023/03/24/1679638883615496_440_330.jpg
1994,彰化縣,Nissan AD RESORT,1.6L,11.6萬,37.0萬km,202,https://auto.8891.com.tw/usedauto-infos-3453382.html?display__sale_code=&flow_id=f78e1f45-edcb-440d-954c-2b94d832e4cd,https://p2.8891.com.tw/2023/03/28/1679981769155958_440_330.jpg
1995,彰化縣,Nissan Hardbody,2.4L,19.5萬,12.9萬km,443,https://auto.8891.com.tw/usedauto-infos-3433139.html?display__sale_code=&flow_id=aba1621a-f324-4607-8582-20e96bfdc241,https://p1.8891.com.tw/2023/02/01/1675256789392933_440_330.jpg
1996,基隆市,Nissan Pick up,1.6L,16.8萬,11.0萬km,398,https://auto.8891.com.tw/usedauto-infos-3435609.html?display__sale_code=&flow_id=a7c258e9-0415-4332-bada-68c1e76d16af,https://p1.8891.com.tw/2023/03/11/1678499979762751_440_330.jpg
1998,苗栗縣,Nissan Sentra,1.6L,7.6萬,15.0萬km,137,https://auto.8891.com.tw/usedauto-infos-3437635.html?display__sale_code=&flow_id=58128854-dfbf-4671-bde5-66e9ef1083b3,https://p1.8891.com.tw/2023/03/13/1678688132930931_440_330.jpg
1998,台南市,Nissan Sentra,1.6L,3.8萬,19.0萬km,3751,https://auto.8891.com.tw/usedauto-infos-3210581.html?display__sale_code=9005002&flow_id=40bc34fe-60eb-4c3a-a73e-e42ab15b3962,https://p1.8891.com.tw/2022/08/07/1659854572643909_440_330.jpg
2000,桃園市,Nissan March,1.3L,5萬,12.0萬km,219,https://auto.8891.com.tw/usedauto-infos-3450833.html?display__sale_code=&flow_id=2b5d2fa7-3407-4cef-96a1-46479d863aa2,https://p2.8891.com.tw/2023/03/25/1679725976427222_440_330.jpg
2001,台中市,Nissan March,1.3L,6.8萬,20.0萬km,887,https://auto.8891.com.tw/usedauto-infos-3396027.html?display__sale_code=&flow_id=df6c2e04-4f6f-4970-b166-5e35e46905cb,https://p1.8891.com.tw/2022/12/11/4/1670736356562137_440_330.jpg
2001,新竹市,Nissan Sentra,1.8L,8.8萬,5.0萬km,110,https://auto.8891.com.tw/usedauto-infos-3452102.html?display__sale_code=9005001&flow_id=74c37bed-59f8-40bb-bb5a-bfaccb2c9418,https://p2.8891.com.tw/2023/03/27/1679886217523618_440_330.jpg
2001,新竹市,Nissan Sentra,1.8L,8.8萬,5.4萬km,73,https://auto.8891.com.tw/usedauto-infos-3451346.html?display__sale_code=&flow_id=96f88369-bd85-4c65-b974-74c1fcc9a60e,https://p2.8891.com.tw/2023/03/26/1679798680721660_440_330.jpg
2001,桃園市,Nissan Sentra,1.8L,4.0萬,15.0萬km,260,https://auto.8891.com.tw/usedauto-infos-3428195.html?display__sale_code=&flow_id=b6167bb3-789a-4419-8109-24e3c4d8cc09,https://p2.8891.com.tw/2023/03/04/1677926428164720_440_330.jpg
2001,台北市,Nissan Sentra,1.8L,6.8萬,12.3萬km,411,https://auto.8891.com.tw/usedauto-infos-3422506.html?display__sale_code=&flow_id=4c2a9cb8-e0a0-4869-b1ea-19d6c4531336,https://p1.8891.com.tw/2023/02/27/1677500726109013_440_330.jpg
2002,新北市,Nissan Cabstar,3.2L,15.8萬,7.0萬km,31,https://auto.8891.com.tw/usedauto-infos-3455948.html?display__sale_code=&flow_id=668d4949-ce38-4101-985a-d21fe71db610,https://p2.8891.com.tw/2023/03/30/1680176792545550_440_330.jpg
