年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
2000,台北市,Porsche Boxster Boxster(981),3.2L,58.8萬,12.0萬km,2054,https://auto.8891.com.tw/usedauto-infos-3430298.html?display__sale_code=9005013&flow_id=508da652-81c3-4335-a792-63de821c3aca,https://p1.8891.com.tw/2023/03/06/1678097698832729_440_330.jpg
2001,台北市,Porsche 911 911 Carrera,3.6L,200萬,9.0萬km,1084,https://auto.8891.com.tw/usedauto-infos-3441798.html?display__sale_code=&flow_id=91379227-7432-4e86-afd5-5a021093a5eb,https://p1.8891.com.tw/2023/03/16/1678950506042339_440_330.jpg
2002,台北市,Porsche 911 911(996),3.6L,178萬,8.0萬km,227,https://auto.8891.com.tw/usedauto-infos-3454328.html?display__sale_code=&flow_id=51c9182d-20fe-4f37-bc35-4431df44835c,https://p1.8891.com.tw/2023/03/29/1680063000717355_440_330.jpg
2003,台北市,Porsche Cayenne Cayenne S,4.5L,22.8萬,15.0萬km,444,https://auto.8891.com.tw/usedauto-infos-3439709.html?display__sale_code=&flow_id=64081125-e705-4cf2-9463-b3c4f35cb244,https://p2.8891.com.tw/2022/12/27/1672149070409568_440_330.jpg
2003,台北市,Porsche 911 911(996),3.6L,138萬,7.0萬km,574,https://auto.8891.com.tw/usedauto-infos-3447424.html?display__sale_code=&flow_id=86682dc3-6c41-44a4-bd85-508c496da185,https://p2.8891.com.tw/2023/03/27/1679892401310340_440_330.jpg
2003,台中市,Porsche 911 911(996),3.6L,123.8萬,8.0萬km,308,https://auto.8891.com.tw/usedauto-infos-3452428.html?display__sale_code=&flow_id=cc7d3164-7b33-4751-8b81-1fa7a5331d61,https://p1.8891.com.tw/2023/03/27/1679899094165925_440_330.jpg
2004,台中市,Porsche Cayenne Cayenne Turbo,4.5L,39.8萬,14.0萬km,476,https://auto.8891.com.tw/usedauto-infos-3428119.html?display__sale_code=&flow_id=2d55f75b-5335-4b4b-867f-1b31d4f532fc,https://p2.8891.com.tw/2020/12/04/1607071486681678_440_330.jpg
2004,新北市,Porsche Cayenne Cayenne S,4.5L,20萬,12.3萬km,1238,https://auto.8891.com.tw/usedauto-infos-3436089.html?display__sale_code=&flow_id=ce687ff4-af56-4bab-8903-d1f8dc7abfbc,https://p1.8891.com.tw/2022/12/09/1670522129938767_440_330.jpg
2005,新北市,Porsche Cayman Cayman S(987),3.4L,105.8萬,4.7萬km,374,https://auto.8891.com.tw/usedauto-infos-3445958.html?display__sale_code=&flow_id=2718a785-6790-468f-a6c2-8c842da19ca8,https://p2.8891.com.tw/2022/10/15/9/1665804785123812_440_330.jpg
2005,台中市,Porsche 911 911 Carrera S,3.8L,178.8萬,15.0萬km,1627,https://auto.8891.com.tw/usedauto-infos-3432369.html?display__sale_code=&flow_id=8654b8dc-2601-430d-9380-7fbf7463192c,https://p2.8891.com.tw/2023/03/08/0/1678261174191672_440_330.jpg
2006,南投縣,Porsche Boxster Boxster,2.7L,69.8萬,12.0萬km,569,https://auto.8891.com.tw/usedauto-infos-3452993.html?display__sale_code=&flow_id=d52d3766-cd82-45b1-93dd-fe15700973cc,https://p1.8891.com.tw/2023/02/25/1677324934264313_440_330.jpg
2006,台北市,Porsche Cayman Cayman S(987),3.4L,99.8萬,10.0萬km,199,https://auto.8891.com.tw/usedauto-infos-3454879.html?display__sale_code=&flow_id=3876b872-d7fa-440a-b4ca-5df83f913328,https://p2.8891.com.tw/2023/03/30/1680151987350128_440_330.jpg
2006,台北市,Porsche 911 911(997),3.6L,148萬,15.0萬km,3739,https://auto.8891.com.tw/usedauto-infos-3405841.html?display__sale_code=&flow_id=57d2d142-7bb0-4dd9-87f1-c9e52fb1ae9d,https://p2.8891.com.tw/2023/02/10/1676038709319746_440_330.jpg
2006,新竹縣,Porsche 911 911 Carrera 4S,3.8L,248萬,6.0萬km,833,https://auto.8891.com.tw/usedauto-infos-3435700.html?display__sale_code=&flow_id=a7e47f2a-eca9-4259-9514-37549f4a1eda,https://p1.8891.com.tw/2023/03/11/1678506392225685_440_330.jpg
2006,新北市,Porsche Cayman Cayman S(987),3.4L,88.8萬,8.2萬km,565,https://auto.8891.com.tw/usedauto-infos-3451342.html?display__sale_code=&flow_id=0f4bb6c6-4da2-45bc-902c-88ecbc07bce6,https://p2.8891.com.tw/2023/03/25/1679746820944624_440_330.jpg
2006,新北市,Porsche Cayman Cayman S(987),3.4L,89.8萬,14.0萬km,1014,https://auto.8891.com.tw/usedauto-infos-3434299.html?display__sale_code=&flow_id=62cd828c-fcbc-4c85-a681-da9c075aa8c3,https://p2.8891.com.tw/2023/01/06/1672943237454712_440_330.jpg
2006,新北市,Porsche Cayman Cayman S(987),3.4L,95.8萬,7.7萬km,1086,https://auto.8891.com.tw/usedauto-infos-3416902.html?display__sale_code=&flow_id=c71f6222-93b1-469e-82cb-938cf9087219,https://p2.8891.com.tw/2023/02/21/8/1676972163386612_440_330.jpg
2006,台南市,Porsche Cayman Cayman S(987),3.4L,88.8萬,10.0萬km,622,https://auto.8891.com.tw/usedauto-infos-3446935.html?display__sale_code=&flow_id=69ab9308-5125-4626-a0f8-33a07a5f2650,https://p1.8891.com.tw/2023/03/21/1679385450076771_440_330.jpg
2006,桃園市,Porsche Cayman Cayman S(987),3.4L,77萬,13.5萬km,736,https://auto.8891.com.tw/usedauto-infos-3454082.html?display__sale_code=&flow_id=d5a94cdd-cf5b-4356-a963-3b4a642735c0,https://p2.8891.com.tw/2023/03/28/1680011552435372_440_330.jpg
2006,台中市,Porsche Cayenne Cayenne S,4.5L,29.8萬,10.0萬km,302,https://auto.8891.com.tw/usedauto-infos-3438997.html?display__sale_code=&flow_id=e78c9085-ce08-43cd-97f5-2102c6312c4f,https://p1.8891.com.tw/2021/11/03/1635923738510993_440_330.jpg
2007,台中市,Porsche Cayman Cayman S(987),3.4L,81萬,6.0萬km,842,https://auto.8891.com.tw/usedauto-infos-3441424.html?display__sale_code=&flow_id=059626b5-9db8-4f72-86d1-9df945f23055,https://p2.8891.com.tw/2022/03/11/4/1646987113167960_440_330.jpg
2007,高雄市,Porsche 911 911 Carrera S,3.8L,156萬,11.6萬km,262,https://auto.8891.com.tw/usedauto-infos-3456293.html?display__sale_code=&flow_id=884628c6-91a9-4f7f-8124-fb8ca2ed8596,https://p2.8891.com.tw/2023/03/31/1680237516632118_440_330.jpg
2007,台中市,Porsche Cayenne Cayenne S,4.8L,38.8萬,13.0萬km,1120,https://auto.8891.com.tw/usedauto-infos-3398280.html?display__sale_code=&flow_id=de2a8a3f-4d0f-4a76-9406-8022859de970,https://p1.8891.com.tw/2022/03/18/1647596259642601_440_330.jpg
2007,新北市,Porsche Cayenne Cayenne,3.6L,36.8萬,16.0萬km,320,https://auto.8891.com.tw/usedauto-infos-3437459.html?display__sale_code=&flow_id=4b227c3b-a0de-4885-8b32-d7296315a0db,https://p2.8891.com.tw/2023/01/11/2/1673403880993906_440_330.jpg
2007,台中市,Porsche Boxster Boxster,2.7L,99.8萬,7.0萬km,711,https://auto.8891.com.tw/usedauto-infos-3433083.html?display__sale_code=&flow_id=7ba54012-be9a-4349-9fcf-6734fd1a7cd1,https://p2.8891.com.tw/2022/07/08/1657267388961080_440_330.jpg
2007,高雄市,Porsche 911 911 Carrera 4S,3.8L,338萬,22.0萬km,571,https://auto.8891.com.tw/usedauto-infos-3432853.html?display__sale_code=&flow_id=83f331fd-095b-4b36-bc3a-c54e92ea8866,https://p2.8891.com.tw/2023/03/11/1678525719616706_440_330.jpg
2007,台中市,Porsche Cayenne Cayenne,3.6L,39.8萬,11.0萬km,470,https://auto.8891.com.tw/usedauto-infos-3439001.html?display__sale_code=&flow_id=17375e31-8226-4c67-b996-00e2300b20f1,https://p2.8891.com.tw/2022/10/12/1665570401751780_440_330.jpg
2007,桃園市,Porsche Cayenne Cayenne Turbo,4.8L,58萬,10.0萬km,600,https://auto.8891.com.tw/usedauto-infos-3430604.html?display__sale_code=&flow_id=58d4e218-c6b3-4b52-afdd-3bb4c780c1e9,https://p1.8891.com.tw/2023/03/07/1678123065316365_440_330.jpg
2007,高雄市,Porsche Cayenne Cayenne,3.6L,45.8萬,17.0萬km,765,https://auto.8891.com.tw/usedauto-infos-3395855.html?display__sale_code=&flow_id=ad803cef-65c7-4ce9-b2bd-6cf89a2486f4,https://p2.8891.com.tw/2022/07/29/9/1659063066769066_440_330.jpg
2007,新北市,Porsche Cayman Cayman S(987),3.4L,108萬,7.1萬km,654,https://auto.8891.com.tw/usedauto-infos-3450252.html?display__sale_code=&flow_id=4cb436b5-eee4-4cad-a841-355879b93863,https://p2.8891.com.tw/2023/03/24/1679653186046102_440_330.jpg
2007,高雄市,Porsche Cayenne Cayenne,3.6L,46.8萬,12.0萬km,683,https://auto.8891.com.tw/usedauto-infos-3419335.html?display__sale_code=&flow_id=9ddc537d-b0ad-4f08-8157-fc96676af806,https://p1.8891.com.tw/2023/02/24/2/1677173989733111_440_330.jpg
2007,台北市,Porsche 911 911 Turbo,3.6L,338萬,1.4萬km,211,https://auto.8891.com.tw/usedauto-infos-3457072.html?display__sale_code=&flow_id=a7616b18-5b48-47b7-812c-891773a30ecb,https://p2.8891.com.tw/2023/03/31/1680261542083550_440_330.jpg
2007,台中市,Porsche 911 911 Turbo,3.6L,298萬,7.3萬km,2536,https://auto.8891.com.tw/usedauto-infos-3395176.html?display__sale_code=&flow_id=2704404e-0b18-44b5-8655-133eb0c835e0,https://p2.8891.com.tw/2023/02/07/1675699485505840_440_330.jpg
2007,台中市,Porsche Cayenne Cayenne S,4.8L,39.8萬,13.0萬km,234,https://auto.8891.com.tw/usedauto-infos-3438998.html?display__sale_code=&flow_id=c94460c0-d502-4b22-bfb4-5f4155996402,https://p1.8891.com.tw/2021/12/01/1638345873339103_440_330.jpg
2007,高雄市,Porsche Cayenne Cayenne,3.6L,42.8萬,17.0萬km,37,https://auto.8891.com.tw/usedauto-infos-3458182.html?display__sale_code=&flow_id=b7eaca5b-d6fc-42ab-b7f0-52295b6e3a95,https://p2.8891.com.tw/2023/04/01/1680360663167426_440_330.jpg
2008,台中市,Porsche Cayenne Cayenne,3.6L,58.8萬,9.8萬km,8545,https://auto.8891.com.tw/usedauto-infos-3207675.html?display__sale_code=&flow_id=664f8088-185f-42a4-bccb-0509f119c0ac,https://p1.8891.com.tw/2022/08/04/1659605657678673_440_330.jpg
2008,新北市,Porsche Cayenne Cayenne,3.6L,28萬,15.1萬km,877,https://auto.8891.com.tw/usedauto-infos-3427876.html?display__sale_code=&flow_id=2564522d-2f10-4c85-a41e-3786b4927841,https://p2.8891.com.tw/2023/03/14/1678772712774452_440_330.jpg
