年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1990,新竹縣,Suzuki Jimny,1.1L以下,55.8萬,9000km,158,https://auto.8891.com.tw/usedauto-infos-3455822.html?display__sale_code=&flow_id=c9b274ea-f1ce-4c6c-b451-550a7c193bf4,https://p1.8891.com.tw/2023/02/17/5/1676609317290631_440_330.jpg
1999,彰化縣,Suzuki Escudo/吉星,1.6L,12.8萬,14.5萬km,201,https://auto.8891.com.tw/usedauto-infos-3446827.html?display__sale_code=&flow_id=9a40dfa9-4ebc-4eca-9149-7dfa7c31b4b7,https://p1.8891.com.tw/2023/03/21/1679381581850163_440_330.jpg
2000,桃園市,Suzuki Jimny,1.3L,20.8萬,8.0萬km,227,https://auto.8891.com.tw/usedauto-infos-3427352.html?display__sale_code=&flow_id=c4149d36-4bdb-4968-89ec-ef7ee45a74f5,https://p1.8891.com.tw/2023/03/04/1677864306021881_440_330.jpg
2000,桃園市,Suzuki Jimny,1.3L,23.8萬,8.0萬km,329,https://auto.8891.com.tw/usedauto-infos-3408649.html?display__sale_code=&flow_id=9ccbfe6d-8b44-4e9a-a371-1b66fa35d0d2,https://p1.8891.com.tw/2023/02/13/1676282044584213_440_330.jpg
2000,桃園市,Suzuki Jimny,1.3L,23.8萬,8.8萬km,120,https://auto.8891.com.tw/usedauto-infos-3448268.html?display__sale_code=&flow_id=4fef2a65-700d-443a-b287-b129efb7daae,https://p2.8891.com.tw/2023/03/22/1679479445664162_440_330.jpg
2000,桃園市,Suzuki Every/好伙伴,1.3L,6.8萬,6.0萬km,42,https://auto.8891.com.tw/usedauto-infos-3456441.html?display__sale_code=&flow_id=ec82d774-e2d1-4220-a85d-a1affe382269,https://p2.8891.com.tw/2023/03/31/1680243255254340_440_330.png
2000,台中市,Suzuki Grand Vitara/金吉星,2.0L,26.8萬,9.4萬km,526,https://auto.8891.com.tw/usedauto-infos-3424928.html?display__sale_code=&flow_id=4fe87d92-0a03-44fd-8457-635c623f43c7,https://p2.8891.com.tw/2023/03/02/1677730862060548_440_330.jpg
2000,桃園市,Suzuki Jimny,1.3L,20.8萬,8.8萬km,396,https://auto.8891.com.tw/usedauto-infos-3408793.html?display__sale_code=&flow_id=3ceab043-7544-47b7-a34b-798059a46c66,https://p1.8891.com.tw/2023/02/13/1676287030745541_440_330.jpg
2001,基隆市,Suzuki Escudo/吉星,1.6L,18.8萬,23.4萬km,658,https://auto.8891.com.tw/usedauto-infos-3415241.html?display__sale_code=&flow_id=b79bfe0e-9180-4841-adbb-8b4c06f79407,https://p1.8891.com.tw/2022/10/14/1665713331319179_440_330.jpg
2002,新北市,Suzuki Grand Vitara/金吉星,2.5L,8.8萬,17.5萬km,201,https://auto.8891.com.tw/usedauto-infos-3445033.html?display__sale_code=&flow_id=efe22489-cdcc-42f7-87ee-6e5ec0987cbb,https://p1.8891.com.tw/2023/03/20/1679276715513219_440_330.jpg
2002,新北市,Suzuki Grand Vitara/金吉星,2.5L,8.8萬,17.5萬km,317,https://auto.8891.com.tw/usedauto-infos-3444005.html?display__sale_code=9005005&flow_id=770956a2-1d38-4ea1-875d-f1c3d495444e,https://p1.8891.com.tw/2023/03/18/1679125869742167_440_330.jpg
2002,新北市,Suzuki Escudo/吉星,1.6L,15.8萬,11.0萬km,649,https://auto.8891.com.tw/usedauto-infos-3422533.html?display__sale_code=&flow_id=74784610-a5c0-449f-897e-9ca01edeffc8,https://p2.8891.com.tw/2023/02/27/4/1677505387411260_440_330.jpg
2002,新北市,Suzuki Jimny,1.3L,18.5萬,16.0萬km,1183,https://auto.8891.com.tw/usedauto-infos-3403470.html?display__sale_code=9005001&flow_id=06bd332e-ed57-44fb-b20e-9fee91dbfb27,https://p2.8891.com.tw/2022/10/28/4/1666929854193354_440_330.jpg
2003,台中市,Suzuki Jimny,1.3L,18.8萬,23.2萬km,459,https://auto.8891.com.tw/usedauto-infos-3439679.html?display__sale_code=9005001&flow_id=6b47ff2f-95b0-4f42-8552-dd70901d22c8,https://p1.8891.com.tw/2023/03/14/1678806515630439_440_330.jpg
2003,台中市,Suzuki Solio,1.3L,8.8萬,18.0萬km,2335,https://auto.8891.com.tw/usedauto-infos-3253268.html?display__sale_code=9005002&flow_id=ac2a8454-2c2a-490b-bc53-702bff323eae,https://p2.8891.com.tw/2022/04/16/1650094259826382_440_330.jpg
2003,基隆市,Suzuki Grand Vitara/金吉星,2.0L,10.8萬,38.0萬km,393,https://auto.8891.com.tw/usedauto-infos-3402845.html?display__sale_code=&flow_id=c27b9d2e-5524-4c61-81af-a3572e986dd2,https://p2.8891.com.tw/2022/12/10/1670637616256990_440_330.jpg
2003,彰化縣,Suzuki Jimny,1.3L,18.8萬,26.0萬km,233,https://auto.8891.com.tw/usedauto-infos-3418170.html?display__sale_code=&flow_id=d0049c22-8f4a-4541-8e33-e80cf004362d,https://p2.8891.com.tw/2022/08/02/1659440484886042_440_330.jpg
