年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1990,新北市,Toyota Corolla,1.6L,16萬,5.0萬km,212,https://auto.8891.com.tw/usedauto-infos-3448264.html?display__sale_code=&flow_id=9f6f8b2d-6ba1-4ca5-ba6a-059eac876a3b,https://p1.8891.com.tw/2023/01/05/0/1672895184843695_440_330.jpg
1990,苗栗縣,Toyota Crown Crossover,2.6L,88萬,9.0萬km,30,https://auto.8891.com.tw/usedauto-infos-3458391.html?display__sale_code=&flow_id=d22876c7-b56b-47a4-83b7-9a91c4e7e87e,https://p1.8891.com.tw/2018/02/08/9/1518020199065417_440_330.jpg
1991,台北市,Toyota Previa,2.4L,15萬,12.5萬km,1237,https://auto.8891.com.tw/usedauto-infos-3415380.html?display__sale_code=&flow_id=233bb34b-40d6-4782-9676-578a0355e194,https://p2.8891.com.tw/2021/11/24/1637725496612862_440_330.jpg
1992,高雄市,Toyota Corona,1.6L,5.8萬,10.2萬km,1135,https://auto.8891.com.tw/usedauto-infos-3419301.html?display__sale_code=&flow_id=9fb1672a-977a-44bb-a566-383d4b79488f,https://p1.8891.com.tw/2022/12/16/2/1671163874341485_440_330.jpg
1994,桃園市,Toyota HINO,6.0L以上,45.8萬,51.0萬km,164,https://auto.8891.com.tw/usedauto-infos-3443926.html?display__sale_code=9005001&flow_id=aa3713cf-d007-4db0-9712-480ee0af45a0,https://p1.8891.com.tw/2023/03/18/1679122576243161_440_330.jpg
1994,桃園市,Toyota HINO,6.0L以上,46.8萬,51.0萬km,71,https://auto.8891.com.tw/usedauto-infos-3443285.html?display__sale_code=9005001&flow_id=7b2b2067-86d6-448d-9c4f-f0b587a27f1d,https://p1.8891.com.tw/2023/03/11/1678525669384807_440_330.jpg
1994,新北市,Toyota Corolla,1.8L,6.8萬,19.0萬km,241,https://auto.8891.com.tw/usedauto-infos-3438268.html?display__sale_code=9005001&flow_id=8faf75e3-d356-4e3e-aa29-781e92a9f3fd,https://p1.8891.com.tw/2023/03/13/1678707199194401_440_330.jpg
1994,桃園市,Toyota HINO,6.0L以上,46.8萬,50.0萬km,19,https://auto.8891.com.tw/usedauto-infos-3451619.html?display__sale_code=&flow_id=6131485a-9c9a-4b63-9b2c-d268c1f85c1c,https://p2.8891.com.tw/2023/03/26/6/1679811903073890_440_330.jpg
1994,新北市,Toyota Corolla,1.8L,6.8萬,19.0萬km,421,https://auto.8891.com.tw/usedauto-infos-3434817.html?display__sale_code=9005001&flow_id=4ac0652d-d722-4ff6-b90b-bcb7bdcfa039,https://p1.8891.com.tw/2023/03/10/1678429947775875_440_330.jpg
1995,基隆市,Toyota Camry,2.2L,6.8萬,6.0萬km,571,https://auto.8891.com.tw/usedauto-infos-3433718.html?display__sale_code=&flow_id=1c492bb7-1b1e-48eb-ad35-2f167c451f18,https://p2.8891.com.tw/2023/02/07/1675735298905912_440_330.jpg
1995,台北市,Toyota Corolla,1.8L,6.3萬,11.7萬km,813,https://auto.8891.com.tw/usedauto-infos-3414432.html?display__sale_code=&flow_id=266866b4-d0d9-47dc-b10a-83bb594af250,https://p2.8891.com.tw/2023/02/22/1677077902463348_440_330.jpg
1996,新北市,Toyota Corolla,1.8L,6.5萬,22.9萬km,1541,https://auto.8891.com.tw/usedauto-infos-3399839.html?display__sale_code=&flow_id=87d5de9b-86ad-4317-8a84-b08f0ab86af4,https://p1.8891.com.tw/2023/02/06/1675657172242873_440_330.jpg
1996,台北市,Toyota Corolla,1.8L,5.9萬,17.0萬km,151,https://auto.8891.com.tw/usedauto-infos-3449256.html?display__sale_code=&flow_id=f956c126-1e8b-4492-b574-c9a9d637d401,https://p1.8891.com.tw/2023/03/02/1677730411223363_440_330.jpg
1996,新北市,Toyota Corolla,1.6L,5.8萬,30.0萬km,2239,https://auto.8891.com.tw/usedauto-infos-3361871.html?display__sale_code=&flow_id=2f6e363a-6ac4-4d29-8bea-f850ed928502,https://p1.8891.com.tw/2022/12/25/1671952436364201_440_330.jpg
