年份,縣市,車款,排氣量,售價,里程數,瀏覽率,連結,圖片連結
1990,台南市,Volkswagen Corrado,1.8L,16萬,30.0萬km,162,https://auto.8891.com.tw/usedauto-infos-3454599.html?display__sale_code=&flow_id=18c27a01-c7c2-4c3f-a91a-8f9e403d818f,https://p2.8891.com.tw/2023/03/29/2/1680072941929830_440_330.jpg
1990,台中市,Volkswagen Beetle,1.2L,36.8萬,7.0萬km,863,https://auto.8891.com.tw/usedauto-infos-3434926.html?display__sale_code=&flow_id=dd4bfc4b-49b3-4a87-b94e-17856054ab00,https://p1.8891.com.tw/2023/03/10/3/1678433453491829_440_330.jpg
1994,桃園市,Volkswagen T4,2.0L,9.8萬,14.0萬km,224,https://auto.8891.com.tw/usedauto-infos-3452262.html?display__sale_code=9005003&flow_id=f31d70e9-932d-4cb8-99c1-f83575ebd02f,https://p1.8891.com.tw/2022/11/09/1667966411018357_440_330.jpg
1995,高雄市,Volkswagen T4,2.5L,9.9萬,15.0萬km,103,https://auto.8891.com.tw/usedauto-infos-3452774.html?display__sale_code=&flow_id=af69dced-7f4c-4344-b836-d049fadc26c9,https://p2.8891.com.tw/2023/03/12/1678607427184856_440_330.jpg
1996,桃園市,Volkswagen T4,2.0L,7.9萬,22.0萬km,269,https://auto.8891.com.tw/usedauto-infos-3452718.html?display__sale_code=&flow_id=b17e34f5-6bde-41d0-9e6f-c5c1489a3563,https://p1.8891.com.tw/2023/03/27/1679908018934683_440_330.jpg
1999,高雄市,Volkswagen T4 VR6,2.8L,19.8萬,16.0萬km,232,https://auto.8891.com.tw/usedauto-infos-3444508.html?display__sale_code=&flow_id=8110a278-6d8a-4454-817e-53630f346ac3,https://p2.8891.com.tw/2023/02/16/1676538967348580_440_330.jpg
1999,新北市,Volkswagen Beetle,2.0L,16.8萬,7.0萬km,530,https://auto.8891.com.tw/usedauto-infos-3436823.html?display__sale_code=&flow_id=523ce5d8-deb6-461f-b86d-957dad3f7d7e,https://p1.8891.com.tw/2023/02/02/1675316289110121_440_330.jpg
1999,台北市,Volkswagen Beetle,2.0L,23.8萬,10.2萬km,3099,https://auto.8891.com.tw/usedauto-infos-3336717.html?display__sale_code=&flow_id=08a8b6b9-7a15-4d27-bfe3-58400fac01f7,https://p1.8891.com.tw/2022/12/02/1669964600354317_440_330.jpg
2000,台北市,Volkswagen Lupo,1.4L,4.6萬,25.9萬km,968,https://auto.8891.com.tw/usedauto-infos-3423337.html?display__sale_code=&flow_id=cd17f47b-ce11-4fb7-ba8c-a96acc471bf7,https://p2.8891.com.tw/2023/02/28/1677596487461462_440_330.jpg
2000,桃園市,Volkswagen Lupo,1.4L,9.8萬,10.0萬km,201,https://auto.8891.com.tw/usedauto-infos-3438871.html?display__sale_code=&flow_id=4458b08c-693f-4acd-bfc0-2070454c47d7,https://p2.8891.com.tw/2023/03/14/1678772625085070_440_330.jpg
2000,高雄市,Volkswagen T4,2.0L,15.8萬,30.0萬km,691,https://auto.8891.com.tw/usedauto-infos-3400568.html?display__sale_code=&flow_id=330d68ce-88e6-4d7a-9f9a-a141dc08ca9a,https://p2.8891.com.tw/2023/02/06/1675674827172154_440_330.jpg
